,id,name,creative_sector,employee_sizeband,website
0,6807423,32MX.TV,publishing,6 a 10 personas,WWW.32MX.TV
3,122987,BUSCATODO,publishing,11 a 30 personas,WWW.BUSCATODO.COM
5,94181,GRUPO RADIOASTA,publishing,0 a 5 personas,WWW.RADIOASTA.MX
8,185715,COMUNICA,publishing,6 a 10 personas,COMUNICACAMPECHE.COM.MX
9,188689,PROSPORA,publishing,0 a 5 personas,WWW.PROSPORA.MX
13,6728933,TIEMPO LA NOTICIA DIGITAL,publishing,0 a 5 personas,WWW.TIEMPO.COM.MX
15,870112,ALDEA MEDIA SA DE CV,publishing,11 a 30 personas,WWW.ALDEAMEXICO.COM
18,881965,BOTÓN ROJO,publishing,0 a 5 personas,WWW.BOTONROJO.COM
20,867083,CARTERA,publishing,0 a 5 personas,WWW.SENTIDOCOMUN.COM.MX
21,691411,DEEZER MÉXICO,publishing,0 a 5 personas,WWW.DEEZER.COM
22,6859693,DEREMATE COM DE MEXICO,publishing,31 a 50 personas,MERCADOLIBRE.COM.MX
23,6876804,EBAY,publishing,51 a 100 personas,WWW.VIVAANUNCIOS.COM.MX
24,6879122,EIKOMDIGITAL,publishing,11 a 30 personas,WWW.EIKONDIGITAL.COM
25,6813693,EL FINANCIERO MARKETING SA DE CV,publishing,251 y más personas,WWW.ELFINANCIERO
27,898882,EMPRESA DE COMUNICACIÓN PERIÓDISTICA HOJA DE RUTA,publishing,6 a 10 personas,WWW.HOJADERUTADIGITAL.MX
32,780306,"INTERNET SECURITIES DE MÉXICO, S. DE R.L. DE C.V.",publishing,0 a 5 personas,WWW.SECURITIES.COM
33,6856403,MERCADO LIBRE S DE RL DE CV,publishing,51 a 100 personas,WWW.MERCADOLIBRE.COM.MX
34,6325790,METRO NET S.A.P.I. DE C.V.,publishing,251 y más personas,WWW.KIONETWORKS.COM.MX
37,889911,OFICINA EXCELENCIA DEPORTIVA PIT LANE,publishing,0 a 5 personas,WWW.PITLANE.MX
38,690581,"PAGINAS Y POSICIONAMIENTO WEB, S.A. DE C.V.",publishing,6 a 10 personas,WWW.POSICIONAWEB.MX
39,896348,"PERIODICO DIGITAL SENDERO, S.A. DE C.V.",publishing,11 a 30 personas,SDPNOTICIAS.COM
41,1043163,PORTAL DE NOTICIAS EN INTERNET,publishing,0 a 5 personas,WWW.ENDIRECTO.MX
42,895590,"PUBLICACIONES COMUNITARIAS, S.A. DE C.V.",publishing,31 a 50 personas,WWW.LASILLAROTA.COM.MX
43,909712,PUBLICIDAD EN BUSCADORES,publishing,11 a 30 personas,WWW.PUBLICIDADENBUSCADORES.MX
46,6802972,S SERVICIOS DE MUSICA MÉXICO SA DE CV,publishing,11 a 30 personas,WWW.SPOTIFY.COM
47,6800448,S SERVICIOS DE MUSICA MÉXICO SA DE CV,publishing,6 a 10 personas,WWW.SPOTIFY.COM
49,873938,"SIN EMBARGO, S. DE R.L. DE C.V.",publishing,31 a 50 personas,WWW.SINEMBARGO.MX
50,911465,SINERGIS REDES DE COMUNICACIÓN SATELITAL,publishing,11 a 30 personas,WWW.SINERGIS.COM
54,1085024,PERIÓDICO DIGITAL DURANGO AL DÍA,publishing,6 a 10 personas,WWW.DURANGOALDIA.COM
56,1147426,"ZONA FRANCA FÁBRICA DE CONTENIDOS, S.A. DE C.V.",publishing,11 a 30 personas,WWW.ZONAFRANCA.MX
57,1505928,REPETIDORA RTG,publishing,0 a 5 personas,WWW.XHTVT.COM
62,1671691,GRUPO INFORMATIVO ARTICULO 7,publishing,11 a 30 personas,WWW.ARICULOSIETE.COM
65,1677650,TELEVISORA JALISCO,publishing,0 a 5 personas,WWW.USTREAM.TV/CHANNEL/TV-JALISCO2
70,2623856,GRUPO RADIOTELE,publishing,0 a 5 personas,WWW.RADIOTELE.TV
71,2624351,PAGINA DE INTERNET QUADRATIN,publishing,6 a 10 personas,WWW.QUADRATIN.COM.MX
72,2682985,TARJETAS Y LONAS DE PUBLICIDAD ALKIMIA,publishing,0 a 5 personas,WWW.ALKIMIAMORELIA.COM
74,3041613,BANCO DE DATOS DEL VENADO COLA BLANCA,publishing,0 a 5 personas,WWW.TIERRADEVENADOS.COM.MX
75,3027818,MOLINKO PAGINAS WEB GARZA/INMOBILIARIA HINOGAR,publishing,0 a 5 personas,WWW.MOLINKO.COM
77,6366169,TODITO CARD SA DE CV,publishing,11 a 30 personas,WWW.TODITOCARD.COM
79,3126160,LA ONDA OAXACA,publishing,0 a 5 personas,WWW.LAONDAOAXACA.COM.MX
80,3144936,MEGARADIOEXPRESS,publishing,0 a 5 personas,MEGARADIOEXPRESS.COM
82,3224803,OFICINA DE SERVICIO INTEGRAL DE COMUNICACIÓN,publishing,0 a 5 personas,WWW.NOTIHUATULCO.COM
92,3338967,TODO PUEBLA,publishing,11 a 30 personas,TODOPUEBLA.COM
94,3589223,"TV ENCORTO, S.A. DE C.V.",publishing,11 a 30 personas,WWW.CIUDADYPODER.COM.MX
96,3692230,OGARRÍO.COM,publishing,0 a 5 personas,OGARRIO.COM
97,3666175,PERIÓDICO CON TU PALABRA,publishing,6 a 10 personas,WWW.CONTUPALABRA.COM
98,3709307,TUCOMPRARENTA,publishing,0 a 5 personas,WWW.TUCOMPRARENTA.COM
99,3767993,AGENCIA DE PUBLICIDAD PYMETIC,publishing,0 a 5 personas,WWW.PYMETIC.COM.MX
100,3817995,DIARIO FUENTES FIDEDIGNAS,publishing,6 a 10 personas,WWW.FUENTESFIDEDIGNAS.COM.MX
102,3920494,EL SHOCK DE LA NOTICIA,publishing,0 a 5 personas,ELSHOCKDELANOTICIA.BLOGSPOT.MX
104,3879736,"LINEAS SONORA HOY CW, S.A. DE C.V.",publishing,0 a 5 personas,WWW.SONORAHOY.COM
105,6226026,MARQUESINA POLITICA.COM,publishing,0 a 5 personas,WWW.MARQUESINAPOLITICA.COM
