topic_number,topic_mix
0,"0.067*""workathome"" + 0.027*""freelance-journalists"" + 0.027*""desarrollo-riqueza-y-crecimiento-personal"" + 0.018*""collaboration-between-creative-minds"" + 0.015*""financial-freedom"" + 0.014*""internetpro"" + 0.014*""voip-and-technology"" + 0.014*""wireless-communications"" + 0.014*""mobile-app-development"" + 0.014*""wellness"""
1,"0.074*""datamanagement"" + 0.043*""computer-programming"" + 0.033*""technology-startups"" + 0.031*""graph-databases"" + 0.030*""apps"" + 0.030*""bots"" + 0.030*""chatbots"" + 0.018*""data-visualization"" + 0.018*""nosql"" + 0.016*""agile-project-management"""
2,"0.049*""3d-artists"" + 0.033*""big-data-developers"" + 0.033*""3d-modeling"" + 0.033*""new-product-development-software-tech"" + 0.023*""softwaredev"" + 0.018*""3d-printing"" + 0.017*""startup-businesses"" + 0.016*""inventors-and-product-developers"" + 0.016*""software-engineering"" + 0.016*""smart-home"""
3,"0.078*""azure"" + 0.077*""microsoft-technology"" + 0.066*""microsft"" + 0.048*""witi"" + 0.043*""microsoft-azure"" + 0.041*""windows-azure-platform"" + 0.032*""xaml"" + 0.029*""softwaredev"" + 0.024*""dotnet"" + 0.016*""community"""
4,"0.068*""networking-for-job-seekers"" + 0.065*""job-search"" + 0.065*""newcareer"" + 0.023*""learning"" + 0.023*""softwaredev"" + 0.023*""venezuelan-people"" + 0.023*""venezuela"" + 0.023*""international-travel"" + 0.023*""comer-tequenos"" + 0.023*""venezolanos"""
5,"0.066*""virtual-reality"" + 0.047*""newtech"" + 0.046*""augmented-reality"" + 0.045*""oculus-rift"" + 0.035*""virtual-worlds"" + 0.035*""vr-glasses"" + 0.021*""innovation"" + 0.020*""technology-startups"" + 0.020*""social-augmented-reality"" + 0.020*""board-games"""
6,"0.047*""real-estate-investors"" + 0.032*""language"" + 0.031*""real-estate-investment-education"" + 0.031*""real-estate-networking"" + 0.030*""retirement"" + 0.029*""investing"" + 0.020*""self-improvement"" + 0.020*""business-strategy"" + 0.017*""professional-networking"" + 0.016*""makers"""
7,"0.095*""python"" + 0.077*""python-web-development"" + 0.056*""computer-programming"" + 0.054*""django"" + 0.054*""open-source-python"" + 0.050*""opensource"" + 0.047*""softwaredev"" + 0.040*""programming-languages"" + 0.036*""functional-programming-in-python"" + 0.036*""data-science-using-python"""
8,"0.081*""electronics"" + 0.078*""makers"" + 0.074*""robotics"" + 0.073*""arduino"" + 0.068*""makerspaces"" + 0.065*""hacking"" + 0.063*""newtech"" + 0.061*""3d-printing"" + 0.059*""diy"" + 0.043*""microcontroller"""
9,"0.047*""softwaredev"" + 0.046*""webstandards"" + 0.031*""cloud-computing"" + 0.027*""computer-programming"" + 0.026*""newtech"" + 0.022*""backend"" + 0.022*""go-programming-language"" + 0.022*""reactjs"" + 0.021*""zoho-crm"" + 0.018*""opensource"""
10,"0.083*""decentralized-systems"" + 0.066*""hyperledger"" + 0.039*""blockchain-security"" + 0.033*""productdesign"" + 0.033*""ux-design"" + 0.033*""service-design"" + 0.033*""design-thinking"" + 0.029*""statistical-computing"" + 0.020*""innovation"" + 0.018*""hackers-and-makers"""
11,"0.033*""english-language"" + 0.033*""opensource"" + 0.033*""positive-thinking"" + 0.017*""programming-languages"" + 0.017*""financial-freedom"" + 0.017*""spacex"" + 0.017*""successful-relationships"" + 0.017*""technological-singularity"" + 0.017*""apple-software"" + 0.017*""life-extension"""
12,"0.027*""newtech"" + 0.027*""nlp-neurolinguistic-programming"" + 0.027*""green-entrepreneurs"" + 0.027*""online-marketing"" + 0.027*""technology-startups"" + 0.027*""businessintell"" + 0.017*""education"" + 0.017*""personal-development"" + 0.016*""innovation"" + 0.016*""professional-women"""
13,"0.133*""web-development"" + 0.116*""webdesign"" + 0.113*""softwaredev"" + 0.111*""computer-programming"" + 0.080*""web"" + 0.075*""opensource"" + 0.067*""newtech"" + 0.036*""mobile-development"" + 0.030*""javascript"" + 0.020*""css"""
14,"0.108*""startup-businesses"" + 0.107*""entrepreneurship"" + 0.090*""professional-networking"" + 0.086*""business-strategy"" + 0.079*""innovation"" + 0.076*""business-entrepreneur-networking"" + 0.068*""business-development"" + 0.059*""emprendedores"" + 0.050*""socialnetwork"" + 0.043*""smallbiz"""
15,"0.095*""computer-security"" + 0.064*""information-security"" + 0.058*""network-security"" + 0.052*""web-security"" + 0.051*""ethical-hacker"" + 0.041*""software-security"" + 0.035*""web-application-security"" + 0.035*""cloud-security"" + 0.035*""cybersecurity"" + 0.030*""opensource"""
16,"0.040*""business-ideas"" + 0.027*""innovation"" + 0.027*""inbound-marketing"" + 0.027*""creative"" + 0.027*""lean"" + 0.027*""scaling-agile"" + 0.023*""marketing-automation"" + 0.019*""entrepreneurship"" + 0.015*""email-campaign-marketing"" + 0.014*""digital-marketing"""
17,"0.036*""professional-networking"" + 0.030*""green-entrepreneurs"" + 0.030*""nutrition"" + 0.030*""collaboration-between-creative-minds"" + 0.030*""construction"" + 0.029*""prodev"" + 0.024*""real-estate"" + 0.020*""startup-incubation-and-entrepreneurship-mentors"" + 0.020*""sustainable-food"" + 0.020*""farmersmarket"""
18,"0.116*""javascript"" + 0.084*""nodejs"" + 0.079*""javascript-frameworks"" + 0.071*""computer-programming"" + 0.069*""web-development"" + 0.064*""softwaredev"" + 0.062*""html5"" + 0.059*""web"" + 0.052*""front-end-development"" + 0.044*""opensource"""
19,"0.123*""fun-times"" + 0.050*""newintown"" + 0.025*""cycling"" + 0.025*""ecoturismo"" + 0.025*""hiking"" + 0.025*""mountain-biking"" + 0.025*""camping"" + 0.025*""travel"" + 0.025*""outdoors"" + 0.025*""adventure"""
