topic_number,topic_mix,is_creative,name,sector
0,"0.045*""sales-professionals"" + 0.036*""motivation"" + 0.034*""entrepreneurship"" + 0.027*""business-growth"" + 0.027*""sales-management"" + 0.025*""business-entrepreneur-networking"" + 0.018*""positive-thinking"" + 0.018*""sales-and-marketing-training"" + 0.018*""direct-sales"" + 0.018*""marketing-and-sales""",1,sales,advertising
1,"0.055*""odoo"" + 0.055*""openerp"" + 0.054*""finance"" + 0.054*""accounting"" + 0.038*""science-and-technology"" + 0.037*""erp-software"" + 0.036*""erp-consulting"" + 0.036*""cognitive-science"" + 0.024*""opensource"" + 0.022*""web""",,,
2,"0.092*""technology-startups"" + 0.091*""newtech"" + 0.090*""startup-businesses"" + 0.085*""web"" + 0.068*""entrepreneurship"" + 0.057*""mobile-technology"" + 0.053*""internet-startups"" + 0.049*""computer-programming"" + 0.049*""softwaredev"" + 0.041*""web-development""",1,startups,software
3,"0.099*""software-engineering"" + 0.070*""softwaredev"" + 0.070*""computer-programming"" + 0.047*""newtech"" + 0.040*""software-architecture"" + 0.036*""new-product-development-software-tech"" + 0.034*""engineering"" + 0.033*""agile-project-management"" + 0.032*""opensource"" + 0.023*""software-qa-and-testing""",1,programming,software
4,"0.115*""small-business-owners"" + 0.105*""founder-institute"" + 0.086*""online-marketing"" + 0.063*""business-strategy"" + 0.056*""marketing"" + 0.053*""devops-automation"" + 0.053*""containers"" + 0.042*""startup-businesses"" + 0.030*""technology-startups"" + 0.016*""entrepreneurship""",,,
5,"0.124*""google"" + 0.093*""android"" + 0.069*""google-developer-group"" + 0.041*""web"" + 0.039*""android-developers"" + 0.039*""newtech"" + 0.038*""softwaredev"" + 0.034*""google-apps"" + 0.023*""edtech"" + 0.023*""google-app-engine""",1,android,software
6,"0.040*""business-strategy"" + 0.029*""innovation"" + 0.029*""digital-marketing-analytics"" + 0.027*""lego-serious-play"" + 0.027*""serious-play"" + 0.027*""metodologia-lego-serious-play"" + 0.027*""lego"" + 0.027*""collaboration-between-creative-minds"" + 0.026*""internetpro"" + 0.015*""building-an-online-business""",,,
7,"0.046*""civic-engagement-technology"" + 0.038*""open-data"" + 0.036*""social-innovation"" + 0.036*""scaling-agile"" + 0.034*""civic-hacking"" + 0.024*""lean"" + 0.024*""civic-engagement"" + 0.023*""civic-action"" + 0.023*""open-government"" + 0.022*""data-science""",1,open_data,software
8,"0.074*""computer-programming"" + 0.072*""applied-statistics"" + 0.050*""r-project-for-statistical-computing"" + 0.042*""newtech"" + 0.041*""opensource"" + 0.041*""softwaredev"" + 0.039*""data-analytics"" + 0.035*""data-science"" + 0.029*""meteor"" + 0.025*""open-source-frameworks""",1,analytics,software
9,"0.100*""devops"" + 0.091*""cloud-computing"" + 0.087*""opensource"" + 0.072*""sysadmin"" + 0.069*""linux"" + 0.053*""virtualization"" + 0.047*""continuous-delivery"" + 0.041*""infrastructure-as-code"" + 0.039*""configuration-management"" + 0.039*""openstack""",1,it,software
10,"0.030*""organization-development"" + 0.025*""prodev"" + 0.021*""human-resource-consultants"" + 0.020*""social-networking-business-networking-jobs"" + 0.020*""mens-social-networking"" + 0.016*""technology-startups"" + 0.013*""entrepreneurship"" + 0.013*""business-strategy"" + 0.013*""socialnetwork"" + 0.012*""emprendedores""",,,
11,"0.047*""windows"" + 0.046*""angular-2"" + 0.031*""microsft"" + 0.031*""opscode-chef"" + 0.016*""android"" + 0.016*""xamarin"" + 0.016*""ruby"" + 0.016*""php"" + 0.016*""transformation"" + 0.016*""microsoft-technology""",1,microsoft,software
