topic_number,topic_mix,segment,is_creative,creative_sector
0,"0.078*""wordpress"" + 0.067*""wordpress-themes"" + 0.055*""webdesign"" + 0.051*""blogs"" + 0.051*""wordpress-websites"" + 0.047*""web-development"" + 0.045*""wordpress-plugins"" + 0.045*""wordpress-customization"" + 0.039*""wordpress-users"" + 0.034*""wordpress-for-business""",wordpress,1,publishing
1,"0.080*""ux-design"" + 0.064*""user-experience"" + 0.049*""ixd"" + 0.038*""mobile-user-experience"" + 0.038*""ui-design"" + 0.034*""webdesign"" + 0.033*""usability"" + 0.031*""productdesign"" + 0.027*""user-research"" + 0.027*""lean-ux""",ux,1,design
2,"0.105*""linux"" + 0.096*""opensource"" + 0.086*""devops"" + 0.064*""sysadmin"" + 0.057*""cloud-computing"" + 0.044*""continuous-delivery"" + 0.041*""virtualization"" + 0.039*""infrastructure-as-code"" + 0.036*""configuration-management"" + 0.036*""openstack""",linux,1,software
3,"0.119*""financial-education"" + 0.086*""finance"" + 0.076*""financial-freedom"" + 0.075*""investing"" + 0.062*""financial-planning"" + 0.057*""financial-independence"" + 0.052*""wealth-creation"" + 0.047*""personal-finance"" + 0.022*""entrepreneurship"" + 0.021*""personal-finance-improvement-get-out-of-debt""",finance,0,
4,"0.096*""applied-statistics"" + 0.069*""r-project-for-statistical-computing"" + 0.039*""hackers-and-makers"" + 0.029*""statistical-computing"" + 0.020*""raspberry-pi"" + 0.020*""young-makers"" + 0.020*""iot-hacking"" + 0.019*""edtech"" + 0.017*""internet-of-things"" + 0.017*""sensors""",data_science,1,software
5,"0.131*""online-marketing"" + 0.103*""social-media-marketing"" + 0.082*""seo-search-engine-optimization"" + 0.078*""digital-marketing"" + 0.060*""marketing"" + 0.059*""social-media"" + 0.045*""internetpro"" + 0.036*""digital-media"" + 0.034*""small-business-marketing-strategy"" + 0.023*""entrepreneurship""",online_marketing,1,advertising
6,"0.103*""test-driven-development"" + 0.073*""google-technology-user-group"" + 0.047*""google"" + 0.047*""software-testing"" + 0.044*""software-qa-and-testing"" + 0.038*""software-quality"" + 0.035*""test-automation"" + 0.031*""softwaredev"" + 0.031*""computer-programming"" + 0.028*""quality-assurance""",software_testing,1,software
7,"0.047*""software-design"" + 0.019*""software-architecture"" + 0.016*""softwaredev"" + 0.016*""newtech"" + 0.016*""web"" + 0.016*""php"" + 0.016*""geographic-information-systems-gis"" + 0.016*""test-driven-development"" + 0.016*""new-product-development-software-tech"" + 0.016*""cartography""",software_development,1,software
8,"0.081*""gamedev"" + 0.066*""gameprog"" + 0.064*""independent-game-development"" + 0.064*""game-design"" + 0.059*""videogame"" + 0.053*""video-game-development"" + 0.050*""unity"" + 0.050*""video-game-design"" + 0.039*""indie-games"" + 0.034*""mobile-game-development""",game_development,1,games
9,"0.033*""computer-programming"" + 0.031*""scaling-agile"" + 0.025*""agile-programming"" + 0.018*""newtech"" + 0.018*""web"" + 0.015*""agile-project-management"" + 0.015*""opensource"" + 0.013*""programming-languages"" + 0.012*""lean"" + 0.012*""agile-enterprise""",programming,1,software
10,"0.031*""women-entrepreneurs"" + 0.026*""business-owners"" + 0.020*""social-media-for-business"" + 0.017*""front-end-development"" + 0.016*""healthy-living"" + 0.016*""lean-startup"" + 0.016*""social-media"" + 0.016*""business-personal-development-workshops"" + 0.016*""what-ecommerce-platform-do-you-use"" + 0.016*""manufacturers-ecommerce""",entrepreneurship,0,
