,state,employment_estimate
aguascalientes,1145,9051.5
baja california,2506,20146.0
baja california sur,750,4607.0
campeche,748,6388.5
chiapas,2925,15106.0
chihuahua,2282,17774.5
ciudad de méxico,13485,198894.0
coahuila de zaragoza,2061,17536.5
colima,630,4452.0
durango,1012,7680.5
guanajuato,3902,24797.5
guerrero,2599,11288.0
hidalgo,1800,10202.5
jalisco,6764,52483.5
michoacán de ocampo,3265,16817.0
morelos,1437,8158.0
méxico,9130,54564.5
nayarit,845,4743.0
nuevo león,4281,45825.5
oaxaca,2968,14421.0
puebla,5553,29654.5
querétaro,2102,17508.5
quintana roo,1270,11457.0
san luis potosí,1846,12529.5
sinaloa,2005,15020.0
sonora,2288,16949.5
tabasco,1222,11464.0
tamaulipas,1991,13644.5
tlaxcala,993,4925.5
veracruz de ignacio de la llave,4313,25933.5
yucatán,2213,15110.0
zacatecas,1057,5856.0
