,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software,all_creative,all_sectors
aguascalientes,0.014160351017151974,0.016126709863210943,0.007834985609210105,0.022867513611615244,0.007521058965102286,0.0076872751063133795,0.012809902486416466,0.010564113238967526,0.01950848745882949,0.01252899724252637,0.01129080371391695
baja california,0.028719585161547666,0.035565154787616994,0.016309561880396548,0.03012704174228675,0.036702767749699154,0.01815505397448479,0.028066640279227086,0.027112822647793505,0.027362553838358245,0.027421543309843744,0.023740754341386193
baja california sur,0.009506714532641935,0.013102951763858891,0.003677646306363927,0.009074410163339383,0.011131167268351384,0.011285574092247301,0.0089237522939081,0.004943796835970025,0.004813782619711173,0.00820676675274653,0.006882225593577929
campeche,0.007711740460045207,0.013822894168466522,0.001439078989446754,0.006896551724137931,0.012936221419975932,0.008832188420019628,0.009175632398978086,0.0067131557035803495,0.006840638459589561,0.008184882041405874,0.007996282538860562
chiapas,0.02685813056774365,0.025629949604031678,0.009433962264150943,0.022867513611615244,0.04091456077015644,0.03892705266601243,0.04573423050627901,0.027737302248126563,0.010894350139346339,0.032006390335711475,0.037465628744165626
chihuahua,0.025196117537561496,0.025485961123110152,0.01598976654940838,0.01705989110707804,0.03730445246690734,0.030585541380438338,0.024612284552552984,0.02419858451290591,0.030149480618191032,0.024970455639690112,0.024203861788417786
ciudad de méxico,0.22470416168062757,0.17365010799136069,0.043652062679884876,0.17495462794918332,0.1444043321299639,0.0708210664049722,0.11320211579288258,0.15268526228143214,0.29161388396250315,0.14755766621438263,0.0928993144946527
coahuila de zaragoza,0.022204494083233613,0.02001439884809215,0.0167892548768788,0.025771324863883848,0.03790613718411552,0.026823683349689237,0.02410852434241301,0.01857826810990841,0.024068913098555866,0.022552195036547467,0.021102105150199803
colima,0.007445818375216062,0.010079193664506839,0.002718260313399424,0.007622504537205082,0.01022864019253911,0.008832188420019628,0.006980677197653917,0.005047876769358868,0.007854066379528755,0.006893684072307086,0.007077156024088676
durango,0.010636883393165802,0.008495320374370051,0.019987208186760475,0.009437386569872959,0.01233453670276775,0.01717369970559372,0.00967939260911806,0.010460033305578684,0.006587281479604763,0.011073663938372653,0.012320784604827778
