state,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software,all_creative,all_sectors
aguascalientes,0.008788027226799828,0.017397351202705694,0.0068809755070038505,0.02622898318654924,0.009212595673295356,0.010764439743815735,0.015046928126671303,0.006795350061142671,0.010422709155891543,0.011310173383355123,0.01239006961797362
baja california,0.017298229965564387,0.027505768562126623,0.11783085438779212,0.017870296236989592,0.03859085031279488,0.018191433104177684,0.02385339913708777,0.020546001475679664,0.017458505641735747,0.027349039553365755,0.03301738371062173
baja california sur,0.0060780199399996584,0.007516515472389923,0.0032883573426327924,0.016941553242594075,0.008227029671827491,0.017063282213996122,0.005783230018483059,0.003673720002683054,0.0028754451950125685,0.006375751754682787,0.008333377397742514
campeche,0.0052226129636805405,0.0279862186680153,0.0005266052683931518,0.005700560448358687,0.010400866738894909,0.009542276279452377,0.008490568651955962,0.00470566382366144,0.0072852928151294575,0.008743168727742135,0.008533357304371927
chiapas,0.009950503374105295,0.008053860985554889,0.0035809158250734324,0.01044035228182546,0.030231013874812147,0.037428756096127856,0.036043350671015405,0.014808393831039839,0.006324731947381224,0.01866298360863128,0.02884380925059425
chihuahua,0.015492370793335137,0.02216392199007491,0.012755549834411899,0.013098478783026422,0.03704609792751547,0.026593806921675775,0.019782692430259013,0.017362454787961345,0.04348721019442001,0.022354434561954167,0.03056859620363808
ciudad de méxico,0.410349205885005,0.3218193886904574,0.07428644986132728,0.2880384307445957,0.2179498829203509,0.15737704918032788,0.1634268201102333,0.34567022171312994,0.4205385378267622,0.29022689741868646,0.12164288605325306
coahuila de zaragoza,0.019340483658314873,0.029244239340013276,0.05339777421506559,0.021969575660528422,0.0275329395729214,0.03306892296844703,0.021694733020941,0.011315263997028003,0.013641211803671338,0.022582885693984797,0.027658554732447264
colima,0.00487411382518016,0.007927426747163131,0.0009946988402981757,0.004067253803042434,0.01061056163282424,0.00635760032904401,0.008529363678433568,0.007259724780582945,0.005339221446704465,0.006672983872701134,0.009100767450292502
durango,0.007108895014025262,0.00496886556879603,0.04872854083531298,0.004163330664531626,0.011994547932757837,0.014031376696633175,0.00908634941571919,0.009989216187070776,0.0022454669635672986,0.010121859027228059,0.013137798019591505
guanajuato,0.033992069816806435,0.03128615229004014,0.030730342995564812,0.04576461168935148,0.032111278090378496,0.0317644985016746,0.039670685646671526,0.030014086033156355,0.02549228744472097,0.033450281480043996,0.048389381142257916
guerrero,0.005712461403111147,0.002768909820779467,0.06731185563994242,0.003522818254603683,0.019760248837940798,0.025348140313766965,0.018560649096214438,0.011377180626286705,0.0009356112348197077,0.0139287637784589,0.023484377872901866
hidalgo,0.007511009404602626,0.007832601068369315,0.025089815454109276,0.007622097678142514,0.010491734526264285,0.02523062459603972,0.018679805248967084,0.014344019111599564,0.0037549197557430938,0.012573409884933094,0.01908118879662731
jalisco,0.07371853454893731,0.06353952650377723,0.09831135243935263,0.0834267413931145,0.05925977702442946,0.05891062929666843,0.0746970524093097,0.07568791954965971,0.10400878227079084,0.07559583064401725,0.07401605903408183
